country,year,sex,age,suicides_no,population,suicides_per_thousand,,,,183.3528646
Albania,2001,male,55-74 years,11,196670,0.055931255,,,,
Albania,2001,male,75+ years,1,31044,0.032212344,,,,
Albania,2002,female,15-24 years,14,275970,0.050730152,,,,
Albania,2002,female,25-34 years,7,223685,0.031294007,,,,
Albania,2002,female,35-54 years,15,375113,0.03998795,,,,
Albania,2002,female,5-14 years,1,304850,0.003280302,,,,
Albania,2002,female,55-74 years,4,191712,0.02086463,,,,
Albania,2002,female,75+ years,1,47407,0.021093931,,,,
Albania,2002,male,15-24 years,15,263067,0.057019695,,,,
Albania,2002,male,25-34 years,23,206286,0.11149569,,,,
Albania,2002,male,35-54 years,35,382139,0.09158971,,,,
Albania,2002,male,5-14 years,1,319473,0.003130155,,,,
Albania,2002,male,55-74 years,13,198130,0.065613486,,,,
Albania,2002,male,75+ years,4,31007,0.129003128,,,,
Albania,2003,female,15-24 years,14,283709,0.049346337,,,,
Albania,2003,female,25-34 years,9,222941,0.040369425,,,,
Albania,2003,female,35-54 years,13,381760,0.034052808,,,,
Albania,2003,female,5-14 years,0,298477,0,,,,
Albania,2003,female,55-74 years,9,195699,0.045988993,,,,
Albania,2003,female,75+ years,6,49088,0.122229465,,,,
Albania,2003,male,15-24 years,15,273235,0.054897799,,,,
Albania,2003,male,25-34 years,9,205433,0.043809904,,,,
Albania,2003,male,35-54 years,28,386196,0.072502046,,,,
Albania,2003,male,5-14 years,4,313204,0.012771229,,,,
Albania,2003,male,55-74 years,16,201520,0.079396586,,,,
Albania,2003,male,75+ years,1,32667,0.030611933,,,,
Albania,2004,female,15-24 years,20,292268,0.068430345,,,,
Albania,2004,female,25-34 years,11,222389,0.049462878,,,,
Albania,2004,female,35-54 years,17,391436,0.043429833,,,,
Albania,2004,female,5-14 years,3,286705,0.010463717,,,,
Albania,2004,female,55-74 years,3,203841,0.014717353,,,,
Albania,2004,female,75+ years,3,50970,0.058858152,,,,
Albania,2004,male,15-24 years,19,286768,0.066255649,,,,
Albania,2004,male,25-34 years,16,203938,0.078455217,,,,
Albania,2004,male,35-54 years,39,391767,0.099548967,,,,
Albania,2004,male,5-14 years,1,302181,0.003309275,,,,
Albania,2004,male,55-74 years,10,207202,0.048262082,,,,
Albania,2004,male,75+ years,4,35526,0.112593593,,,,
Albania,2005,female,15-24 years,0,281922,0,,,,
Albania,2005,female,25-34 years,0,190745,0,,,,
Albania,2005,female,35-54 years,0,386513,0,,,,
Albania,2005,female,5-14 years,0,276559,0,,,,
Albania,2005,female,55-74 years,0,210998,0,,,,
Albania,2005,female,75+ years,0,53191,0,,,,
Albania,2005,male,15-24 years,0,281675,0,,,,
Albania,2005,male,25-34 years,0,177519,0,,,,
Albania,2005,male,35-54 years,0,380242,0,,,,
Albania,2005,male,5-14 years,0,291367,0,,,,
Albania,2005,male,55-74 years,0,214118,0,,,,
Albania,2005,male,75+ years,0,38471,0,,,,
Albania,2006,female,15-24 years,0,283138,0,,,,
Albania,2006,female,25-34 years,0,186391,0,,,,
Albania,2006,female,35-54 years,0,388746,0,,,,
Albania,2006,female,5-14 years,0,267316,0,,,,
Albania,2006,female,55-74 years,0,215907,0,,,,
Albania,2006,female,75+ years,0,56011,0,,,,
